image_path,room_type,style
../data/raw\bathroom\boho\bathroom_boho_33.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_34.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_35.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_36.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_37.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_38.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_39.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_4.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_40.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_41.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_42.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_43.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_44.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_45.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_46.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_47.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_48.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_49.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_5.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_50.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_51.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_52.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_53.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_54.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_55.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_56.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_57.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_58.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_59.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_6.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_60.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_61.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_62.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_63.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_64.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_65.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_66.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_67.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_68.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_69.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_7.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_70.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_71.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_72.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_73.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_74.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_75.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_76.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_77.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_78.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_79.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_8.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_80.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_81.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_82.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_83.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_84.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_85.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_86.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_87.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_88.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_89.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_9.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_90.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_91.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_92.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_93.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_94.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_95.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_96.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_97.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_98.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_99.jpg,bathroom,boho
../data/raw\bathroom\industrial\bathroom_industrial_0.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_1.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_10.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_100.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_101.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_102.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_103.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_104.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_105.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_106.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_107.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_108.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_109.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_11.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_110.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_111.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_112.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_113.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_114.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_115.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_116.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_117.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_118.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_119.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_12.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_120.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_121.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_122.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_123.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_124.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_125.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_126.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_127.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_128.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_129.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_13.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_130.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_131.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_132.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_133.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_134.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_135.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_136.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_137.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_138.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_139.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_14.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_140.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_141.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_142.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_143.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_144.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_145.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_146.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_147.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_148.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_149.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_15.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_150.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_151.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_152.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_153.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_154.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_16.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_17.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_18.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_19.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_2.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_20.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_21.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_22.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_23.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_24.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_25.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_26.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_27.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_28.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_29.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_3.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_30.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_31.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_32.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_33.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_34.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_35.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_36.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_37.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_38.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_39.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_4.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_40.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_41.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_42.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_43.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_44.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_45.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_46.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_47.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_48.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_49.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_5.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_50.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_51.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_52.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_53.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_54.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_55.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_56.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_57.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_58.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_59.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_6.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_60.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_61.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_62.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_63.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_64.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_65.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_66.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_67.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_68.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_69.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_7.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_70.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_71.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_72.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_73.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_74.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_75.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_76.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_77.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_78.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_79.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_8.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_80.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_81.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_82.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_83.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_84.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_85.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_86.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_87.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_88.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_89.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_9.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_90.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_91.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_92.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_93.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_94.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_95.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_96.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_97.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_98.jpg,bathroom,industrial
../data/raw\bathroom\industrial\bathroom_industrial_99.jpg,bathroom,industrial
../data/raw\bathroom\minimalist\bathroom_minimalist_0.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_1.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_10.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_100.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_101.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_102.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_103.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_104.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_105.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_106.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_107.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_108.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_109.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_11.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_110.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_111.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_112.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_113.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_114.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_115.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_116.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_117.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_118.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_119.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_12.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_120.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_121.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_122.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_123.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_124.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_125.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_126.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_127.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_128.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_129.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_13.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_130.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_131.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_132.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_133.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_134.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_135.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_136.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_137.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_138.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_139.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_14.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_140.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_141.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_142.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_143.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_144.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_145.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_146.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_147.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_148.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_149.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_15.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_150.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_151.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_152.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_153.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_154.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_155.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_156.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_157.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_158.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_159.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_16.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_160.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_161.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_162.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_163.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_164.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_165.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_166.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_167.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_17.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_18.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_19.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_2.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_20.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_21.jpg,bathroom,minimalist
../data/raw\bathroom\minimalist\bathroom_minimalist_22.jpg,bathroom,minimalist
